Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37
,Condition,p70a-GFP,JBL002,CSM257,CSM258,CSM275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRISPR ON,0.5,23.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRISPR 0.1nM,0.5,23.5,0.1,0.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRISPR 0.25nM,0.5,23.5,0.25,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CRISPR 0.5nM,0.5,23.5,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,CRISPR ON,CRISPR ON,CRISPR ON,CRISPR ON,CRISPR ON,CRISPR ON,CRISPR ON,CRISPR ON,CRISPR ON,CRISPR 0.1nM,CRISPR 0.1nM,CRISPR 0.1nM,CRISPR 0.1nM,CRISPR 0.1nM,CRISPR 0.1nM,CRISPR 0.1nM,CRISPR 0.1nM,CRISPR 0.1nM,CRISPR 0.25nM,CRISPR 0.25nM,CRISPR 0.25nM,CRISPR 0.25nM,CRISPR 0.25nM,CRISPR 0.25nM,CRISPR 0.25nM,CRISPR 0.25nM,CRISPR 0.25nM,CRISPR 0.5nM,CRISPR 0.5nM,CRISPR 0.5nM,CRISPR 0.5nM,CRISPR 0.5nM,CRISPR 0.5nM,CRISPR 0.5nM,CRISPR 0.5nM,CRISPR 0.5nM
0,-0.000248888,0.001908143,0.000414814,-0.000248888,0.000829627,0.000995553,0.001410366,0.001576292,0.000414814,-8.30E-05,0.000165925,0,0.000580739,-0.000663702,0.000248888,0.000663702,0.000746665,0.001161478,0.001576292,0.000995553,0.001161478,0.000663702,-0.000331851,8.30E-05,0.000414814,0,0,-0.000995553,0.001244441,0,-0.000580739,-0.000497776,0.000580739,0.001161478,0.000165925,0.000331851
5,0.000165925,0.001742217,0.000248888,0.000414814,0.001161478,0.000995553,0.001659255,0.001244441,0.000829627,0.000580739,0.000331851,0.000663702,0.001576292,-0.000165925,0.000580739,0.001161478,0.000829627,0.001244441,0.001576292,0.001493329,0.000995553,0.000746665,8.30E-05,0.000414814,0.00091259,0.000248888,0.000746665,0,0.001410366,-0.000165925,0.000331851,0.000497776,0.001742217,0.000497776,0.00091259,0.000995553
10,0.002571845,0.00456295,0.003235546,0.003152584,0.004148136,0.004314062,0.004231099,0.004065174,0.003567397,0.003235546,0.002488882,0.002986658,0.003484435,0.003235546,0.003152584,0.004314062,0.004231099,0.003484435,0.004148136,0.003982211,0.003484435,0.003318509,0.003069621,0.002322956,0.003484435,0.002488882,0.004148136,0.002322956,0.003318509,0.002157031,0.001991105,0.002986658,0.004231099,0.003401472,0.003235546,0.003401472
15,0.01003849,0.015596993,0.012527372,0.011531819,0.01277626,0.014269589,0.015596993,0.013356999,0.012444409,0.012029596,0.012195521,0.008794049,0.008296273,0.011282931,0.00821331,0.014684403,0.013439962,0.010619229,0.013854776,0.014435515,0.012859223,0.008959975,0.010702192,0.009208863,0.012527372,0.009042937,0.014103664,0.008711086,0.011199968,0.009540714,0.007549608,0.010536266,0.012610335,0.010121453,0.011282931,0.009955527
20,0.023810303,0.03832878,0.030696209,0.029368806,0.032438427,0.035176197,0.037665078,0.032604352,0.032272501,0.028539178,0.031608799,0.021487347,0.017505136,0.026548073,0.018915502,0.034014718,0.032355464,0.024142154,0.033931756,0.035425085,0.031608799,0.017754024,0.026216222,0.023976228,0.029451768,0.018998465,0.033516942,0.021155496,0.026713998,0.022234011,0.018832539,0.027460663,0.029368806,0.025137707,0.027045849,0.021072533
25,0.045380612,0.069190915,0.057410208,0.057078357,0.060728717,0.064959816,0.067531661,0.060230941,0.062222046,0.054589475,0.061143531,0.038577669,0.028788067,0.049528749,0.033931756,0.063217599,0.057576133,0.045297649,0.064047226,0.065872406,0.06263686,0.0273777,0.049030972,0.04654209,0.054257624,0.033682868,0.062056121,0.037996929,0.05077319,0.040402849,0.033268054,0.049362823,0.050607264,0.042808768,0.044550985,0.033516942
30,0.072592387,0.104864888,0.086944939,0.092420479,0.095241212,0.103454522,0.101380454,0.090761224,0.100218975,0.084373094,0.093498994,0.060894642,0.04197914,0.077487188,0.052183556,0.099638236,0.088438268,0.071513872,0.097564168,0.102873783,0.098310833,0.038245818,0.075081269,0.07176276,0.080473846,0.048865047,0.093084181,0.055833916,0.075993859,0.059816127,0.047869494,0.071679797,0.072011648,0.061558344,0.059816127,0.047537643
35,0.106192292,0.144852923,0.11191672,0.13016852,0.133569992,0.140704787,0.134316657,0.125522607,0.141866265,0.118221887,0.130251483,0.084953833,0.060562791,0.105777478,0.074832381,0.139792197,0.120876695,0.099887124,0.132159626,0.142612929,0.139626271,0.052349481,0.10187823,0.099057497,0.109427838,0.064876853,0.118221887,0.071264983,0.097813056,0.076823486,0.061890195,0.089765672,0.089931597,0.078565703,0.074334604,0.060977605
40,0.142612929,0.186997989,0.134067768,0.170073592,0.173143213,0.178701716,0.1684973,0.165842493,0.184177256,0.149913649,0.167169897,0.115898931,0.082381989,0.125937421,0.099721199,0.180526896,0.154476599,0.128592228,0.160698804,0.175798021,0.177789126,0.070186468,0.126020384,0.121208546,0.13655665,0.083211616,0.137718128,0.084621983,0.112580422,0.091010113,0.072509424,0.102458969,0.108847099,0.096319727,0.086861976,0.076657561
45,0.186085399,0.229557868,0.16302176,0.203590534,0.216615683,0.215869018,0.201516466,0.209729776,0.227732688,0.182683927,0.205498677,0.147590693,0.109842652,0.148337358,0.129504818,0.223086775,0.188076504,0.161611394,0.188325392,0.205664603,0.21470754,0.089931597,0.143359594,0.140870712,0.160532879,0.103786373,0.14933291,0.096900466,0.122204098,0.102873783,0.08362643,0.114073751,0.12925593,0.111584869,0.10096564,0.093167144
50,0.236443775,0.27493848,0.200437951,0.235282297,0.259341488,0.259341488,0.238020067,0.261913332,0.268301462,0.21105718,0.240840799,0.17820394,0.13655665,0.166755083,0.160118065,0.265563692,0.219685304,0.197036479,0.209314963,0.228147502,0.242665979,0.112165608,0.154476599,0.15663363,0.186997989,0.124112241,0.159537326,0.107685621,0.132740365,0.11282931,0.093084181,0.125107794,0.144935886,0.131164073,0.112165608,0.107602658
55,0.295098423,0.329279067,0.24208524,0.270707381,0.306132466,0.31019764,0.285640672,0.320153167,0.301154703,0.235116371,0.266227394,0.207655708,0.163353611,0.192058715,0.18915502,0.30745987,0.245901526,0.238766731,0.224165291,0.239264507,0.267720723,0.130666297,0.16542768,0.173475064,0.207074969,0.144935886,0.174719505,0.114239676,0.140953675,0.120710769,0.101380454,0.137718128,0.1593714,0.15115809,0.125854458,0.11921744
60,0.346784203,0.382541139,0.288461405,0.311193193,0.352757519,0.365284891,0.345622725,0.388016679,0.344544209,0.256022978,0.288793256,0.239015619,0.189237982,0.2183579,0.218109012,0.342719029,0.270707381,0.278837729,0.237688216,0.249883737,0.285889561,0.154476599,0.17455358,0.195709075,0.226073434,0.16302176,0.189735759,0.121291508,0.151572904,0.130334446,0.108930062,0.149664761,0.175051356,0.171732847,0.140289973,0.134233694
65,0.410001802,0.438789868,0.340230147,0.361800457,0.40660033,0.425432869,0.414398826,0.457622407,0.393658144,0.281658461,0.310861342,0.266891096,0.214209764,0.249883737,0.247063004,0.376401897,0.293024355,0.319240577,0.247394855,0.254197798,0.301818404,0.172977288,0.185089846,0.215786055,0.24391042,0.178452828,0.209646814,0.126352235,0.163436574,0.136639613,0.117890036,0.162855835,0.187910579,0.193137231,0.155306227,0.153481047
70,0.481515673,0.49478971,0.413984013,0.423441764,0.462600171,0.495536374,0.482594189,0.527559987,0.455714265,0.306879131,0.334422756,0.291448063,0.242417091,0.28099476,0.272947375,0.40842551,0.318245024,0.358979724,0.252787432,0.260005189,0.306796168,0.194796485,0.198695733,0.235282297,0.256022978,0.191229088,0.228147502,0.133901843,0.169907667,0.145848476,0.124941868,0.173806915,0.197119442,0.211471994,0.170488406,0.174802468
75,0.558753973,0.554771762,0.496863778,0.484087518,0.525319993,0.566054693,0.551453253,0.600235337,0.51851705,0.329942769,0.353504184,0.320567981,0.265314804,0.314262814,0.301403591,0.435969135,0.336911638,0.392413703,0.257848159,0.265397767,0.312105783,0.21105718,0.215205316,0.252455581,0.270541456,0.205249789,0.245071898,0.139958122,0.176627648,0.152568457,0.13016852,0.180360971,0.204834975,0.223667515,0.180360971,0.194796485
80,0.644786322,0.619731578,0.575263556,0.558753973,0.603553846,0.634498943,0.628691553,0.679381779,0.58513612,0.351596041,0.376733748,0.341474588,0.294849535,0.343714582,0.326541297,0.463097947,0.359062687,0.415477342,0.261332593,0.273777002,0.319821316,0.227566763,0.229889719,0.271951822,0.278505878,0.216781608,0.261000742,0.146097364,0.180360971,0.158707699,0.135975911,0.186168362,0.214292726,0.236775626,0.192639454,0.211140143
85,0.734469031,0.690083971,0.63955967,0.626866372,0.683198065,0.7007032,0.700454312,0.756868967,0.659553687,0.373995978,0.400378125,0.363376748,0.31932354,0.368852289,0.353753072,0.484585294,0.380052257,0.435637285,0.264070363,0.287714741,0.32479908,0.238849694,0.243993383,0.282902902,0.287631778,0.22839639,0.2773444,0.151489941,0.189984647,0.163353611,0.141700339,0.192058715,0.218689751,0.244574122,0.200354988,0.223750477
90,0.823985814,0.766243755,0.715719454,0.69887802,0.757615632,0.765828942,0.777360761,0.838006515,0.74052531,0.393575181,0.419625478,0.377148561,0.342304216,0.390505561,0.37864189,0.502837094,0.407015143,0.453806122,0.268882201,0.295928051,0.327204999,0.244657085,0.257765196,0.292111765,0.295347312,0.237439327,0.290369548,0.160532879,0.197202404,0.16634027,0.146097364,0.19828092,0.226820098,0.255110388,0.206826081,0.232295638
95,0.912341119,0.836264298,0.790883686,0.771221519,0.835434671,0.835683559,0.850036111,0.921715908,0.825479143,0.409669951,0.438292092,0.395898138,0.361634531,0.40660033,0.400046274,0.522333335,0.430244707,0.470564593,0.271785897,0.309202087,0.33392498,0.251957805,0.268467388,0.299412485,0.296259902,0.246731153,0.299163597,0.166506195,0.204088311,0.171069145,0.15207068,0.205830528,0.234369706,0.258262972,0.212633472,0.239513396
100,1.00086235,0.919890728,0.879156028,0.839167993,0.912838896,0.892181177,0.920969243,1.001691977,0.90719743,0.42576472,0.45314242,0.409421063,0.376982636,0.423524726,0.418049186,0.535192558,0.451815016,0.48931417,0.272864412,0.318162062,0.340644961,0.257018531,0.273942928,0.304141361,0.302482106,0.257516308,0.30745987,0.173723952,0.21014459,0.174387654,0.155969929,0.211223105,0.235033408,0.262908885,0.221676409,0.245071898
105,1.080506569,0.989330531,0.980868333,0.908358908,0.98534832,0.956062477,0.99264904,1.079842867,0.986343873,0.437047651,0.466333494,0.430493595,0.390090747,0.437130614,0.442689116,0.54954511,0.469154227,0.507731895,0.27551922,0.324467229,0.346120501,0.262079258,0.280579946,0.310778379,0.303560622,0.263821475,0.313848,0.177872089,0.218523825,0.182435039,0.160201028,0.217943086,0.24117265,0.266144431,0.224414179,0.24847337
110,1.160897452,1.066319943,1.073122886,0.98078537,1.048151105,1.013721573,1.064494763,1.159487086,1.065241427,0.445260961,0.481100859,0.461023879,0.401622566,0.44766688,0.460526103,0.558505085,0.489728983,0.526066658,0.276182921,0.333759055,0.352757519,0.269545903,0.288544368,0.313765037,0.311442081,0.269628866,0.318576875,0.182103188,0.224082328,0.18550466,0.164432127,0.22474603,0.244574122,0.26913109,0.229143055,0.250879289
115,1.236310572,1.148618969,1.140820472,1.052216279,1.114770176,1.070882893,1.136672336,1.236725386,1.139824919,0.458037221,0.490143797,0.48748899,0.416721783,0.463595724,0.474463841,0.564312476,0.508312634,0.535524409,0.28008217,0.341972365,0.356407879,0.272283673,0.292111765,0.316253919,0.31293541,0.277759213,0.319489465,0.18641725,0.228728241,0.193966858,0.169409891,0.227400837,0.247726706,0.271454046,0.234535632,0.254446687
120,1.33387474,1.224529865,1.209347686,1.118669424,1.171184831,1.12920569,1.208766946,1.293969668,1.218224697,0.468988301,0.501260802,0.512792622,0.430161744,0.464757202,0.486078623,0.5778354,0.517272609,0.547388079,0.282239201,0.345124948,0.365782668,0.278008101,0.297089529,0.320402055,0.316834658,0.282654014,0.326956111,0.190565386,0.23113416,0.195377224,0.172645437,0.234535632,0.250962252,0.27186886,0.235365259,0.258014084
125,1.40746268,1.293388929,1.272233433,1.181057395,1.238550566,1.18545442,1.270076402,1.36548354,1.292227451,0.474961618,0.508727448,0.53768144,0.440780974,0.474795692,0.503251908,0.585302046,0.531625161,0.559002861,0.283815492,0.348443457,0.369764879,0.283815492,0.298831746,0.320567981,0.319572428,0.288544368,0.328034626,0.192971305,0.235282297,0.19828092,0.176295797,0.238849694,0.252787432,0.2731133,0.238849694,0.261996295
130,1.482378023,1.383486452,1.350218398,1.251907565,1.308654071,1.240790559,1.34482582,1.432766312,1.375770918,0.482179375,0.518931863,0.556099166,0.452146867,0.479109754,0.515115578,0.589782033,0.54406957,0.572774674,0.289042144,0.351430116,0.377563375,0.288959181,0.304556174,0.327204999,0.323139825,0.292941392,0.333759055,0.194796485,0.235282297,0.200272025,0.179780231,0.241753389,0.254114836,0.27643181,0.24664819,0.266559245
